date,close,index
2010-03-09,29.285541534423828,EEM (Emerging Markets)
2010-03-10,29.491628646850586,EEM (Emerging Markets)
2010-03-11,29.498733520507812,EEM (Emerging Markets)
2010-03-12,29.399250030517578,EEM (Emerging Markets)
2010-03-15,29.186052322387695,EEM (Emerging Markets)
2010-03-16,29.56269073486328,EEM (Emerging Markets)
2010-03-17,29.882482528686523,EEM (Emerging Markets)
2010-03-18,29.655086517333984,EEM (Emerging Markets)
2010-03-19,29.271329879760742,EEM (Emerging Markets)
2010-03-22,29.377927780151367,EEM (Emerging Markets)
2010-03-23,29.584014892578125,EEM (Emerging Markets)
2010-03-24,29.143417358398438,EEM (Emerging Markets)
2010-03-25,29.065258026123047,EEM (Emerging Markets)
2010-03-26,29.207378387451172,EEM (Emerging Markets)
2010-03-29,29.733251571655273,EEM (Emerging Markets)
2010-03-30,29.846942901611328,EEM (Emerging Markets)
2010-03-31,29.932226181030273,EEM (Emerging Markets)
2010-04-01,30.71394920349121,EEM (Emerging Markets)
2010-04-05,30.991086959838867,EEM (Emerging Markets)
2010-04-06,31.083478927612305,EEM (Emerging Markets)
2010-04-07,30.81342315673828,EEM (Emerging Markets)
2010-04-08,30.920005798339844,EEM (Emerging Markets)
2010-04-09,31.11189842224121,EEM (Emerging Markets)
2010-04-12,30.86317253112793,EEM (Emerging Markets)
2010-04-13,30.799219131469727,EEM (Emerging Markets)
2010-04-14,31.25402069091797,EEM (Emerging Markets)
2010-04-15,31.083478927612305,EEM (Emerging Markets)
2010-04-16,30.173851013183594,EEM (Emerging Markets)
2010-04-19,30.05304527282715,EEM (Emerging Markets)
2010-04-20,30.408363342285156,EEM (Emerging Markets)
2010-04-21,30.308879852294922,EEM (Emerging Markets)
2010-04-22,30.43678855895996,EEM (Emerging Markets)
2010-04-23,30.6002254486084,EEM (Emerging Markets)
2010-04-26,30.6002254486084,EEM (Emerging Markets)
2010-04-27,29.50585174560547,EEM (Emerging Markets)
2010-04-28,29.75456428527832,EEM (Emerging Markets)
2010-04-29,30.24492073059082,EEM (Emerging Markets)
2010-04-30,29.882482528686523,EEM (Emerging Markets)
2010-05-03,30.04593276977539,EEM (Emerging Markets)
2010-05-04,28.667285919189453,EEM (Emerging Markets)
2010-05-05,28.148515701293945,EEM (Emerging Markets)
2010-05-06,26.997283935546875,EEM (Emerging Markets)
2010-05-07,27.1394100189209,EEM (Emerging Markets)
2010-05-10,29.093666076660156,EEM (Emerging Markets)
2010-05-11,28.56779670715332,EEM (Emerging Markets)
2010-05-12,28.923120498657227,EEM (Emerging Markets)
2010-05-13,28.653064727783203,EEM (Emerging Markets)
2010-05-14,28.06324577331543,EEM (Emerging Markets)
2010-05-17,27.892688751220703,EEM (Emerging Markets)
2010-05-18,27.309968948364258,EEM (Emerging Markets)
2010-05-19,27.047025680541992,EEM (Emerging Markets)
2010-05-20,25.70390510559082,EEM (Emerging Markets)
2010-05-21,26.53536033630371,EEM (Emerging Markets)
2010-05-24,26.258209228515625,EEM (Emerging Markets)
2010-05-25,25.973949432373047,EEM (Emerging Markets)
2010-05-26,25.959741592407227,EEM (Emerging Markets)
2010-05-27,27.53026580810547,EEM (Emerging Markets)
2010-05-28,27.075448989868164,EEM (Emerging Markets)
2010-06-01,26.577993392944336,EEM (Emerging Markets)
2010-06-02,27.508934020996094,EEM (Emerging Markets)
2010-06-03,27.40945816040039,EEM (Emerging Markets)
2010-06-04,26.435871124267578,EEM (Emerging Markets)
2010-06-07,26.02369499206543,EEM (Emerging Markets)
2010-06-08,26.62063217163086,EEM (Emerging Markets)
2010-06-09,26.4785099029541,EEM (Emerging Markets)
2010-06-10,27.402345657348633,EEM (Emerging Markets)
2010-06-11,27.544471740722656,EEM (Emerging Markets)
2010-06-14,27.55158233642578,EEM (Emerging Markets)
2010-06-15,28.38302993774414,EEM (Emerging Markets)
2010-06-16,28.38302993774414,EEM (Emerging Markets)
2010-06-17,28.24090576171875,EEM (Emerging Markets)
2010-06-18,28.36881446838379,EEM (Emerging Markets)
2010-06-21,28.859153747558594,EEM (Emerging Markets)
2010-06-22,28.304861068725586,EEM (Emerging Markets)
2010-06-23,28.377822875976562,EEM (Emerging Markets)
